Date,Open,High,Low,Close,Adj Close,Volume
2023-11-30,331.8900146484375,333.5,322.3999938964844,327.1499938964844,326.8032531738281,23146400
2023-12-01,325.4800109863281,326.8599853515625,320.760009765625,324.82000732421875,324.4757385253906,15264700
2023-12-04,317.2900085449219,320.8599853515625,313.6600036621094,320.0199890136719,319.6808166503906,19037100
2023-12-05,318.9800109863281,321.8800048828125,315.3900146484375,318.2900085449219,317.9526672363281,16952100
2023-12-06,321.92999267578125,322.25,317.0400085449219,317.45001220703125,317.1135559082031,11294300
2023-12-07,317.7699890136719,328.239990234375,317.7699890136719,326.5899963378906,326.24383544921875,15905100
2023-12-08,323.0899963378906,333.1700134277344,323.0,332.75,332.3973083496094,14077500
2023-12-11,329.3999938964844,329.8900146484375,320.0,325.2799987792969,324.93524169921875,25802500
2023-12-12,324.6000061035156,334.4700012207031,324.55999755859375,334.2200012207031,333.8657531738281,18485500
2023-12-13,333.92999267578125,338.3699951171875,332.6400146484375,334.739990234375,334.38519287109375,16353300
2023-12-14,333.8500061035156,334.70001220703125,328.6400146484375,333.1700134277344,332.81689453125,19607300
2023-12-15,331.989990234375,338.6600036621094,331.2200012207031,334.9200134277344,334.5650329589844,30001600
2023-12-18,337.4800109863281,347.55999755859375,337.0199890136719,344.6199951171875,344.2547302246094,18993900
2023-12-19,345.5799865722656,353.6000061035156,345.1199951171875,350.3599853515625,349.9886474609375,17729400
2023-12-20,348.6499938964844,354.9599914550781,347.7900085449219,349.2799987792969,348.9097900390625,16369900
2023-12-21,352.9800109863281,356.4100036621094,349.2099914550781,354.0899963378906,353.7146911621094,15289600
2023-12-22,355.5799865722656,357.20001220703125,351.2200012207031,353.3900146484375,353.0154724121094,11764200
2023-12-26,354.989990234375,356.9800109863281,353.45001220703125,354.8299865722656,354.45391845703125,9898600
2023-12-27,356.07000732421875,359.0,355.30999755859375,357.8299865722656,357.4507141113281,13207900
2023-12-28,359.70001220703125,361.8999938964844,357.80999755859375,358.32000732421875,357.9402160644531,11798800
2023-12-29,358.989990234375,360.0,351.82000732421875,353.9599914550781,353.5848388671875,14980500
2024-01-02,351.32000732421875,353.1600036621094,340.010009765625,346.2900085449219,345.9229736328125,19042200
2024-01-03,344.9800109863281,347.95001220703125,343.17999267578125,344.4700012207031,344.1048889160156,15451100
2024-01-04,344.5,348.1499938964844,343.3999938964844,347.1199951171875,346.7520751953125,12099900
2024-01-05,346.989990234375,353.5,346.260009765625,351.95001220703125,351.5769958496094,13920700
2024-01-08,354.70001220703125,358.9800109863281,352.04998779296875,358.6600036621094,358.2798767089844,13890200
2024-01-09,356.3999938964844,360.6400146484375,355.3599853515625,357.42999267578125,357.0511474609375,13463900
2024-01-10,360.1700134277344,372.94000244140625,359.0799865722656,370.4700012207031,370.07733154296875,22117200
2024-01-11,372.1300048828125,372.7799987792969,362.92999267578125,369.6700134277344,369.2781982421875,17205400
2024-01-12,370.1600036621094,377.05999755859375,369.5400085449219,374.489990234375,374.09307861328125,19295700
2024-01-16,373.6499938964844,375.6099853515625,367.2300109863281,367.4599914550781,367.0705261230469,15306900
2024-01-17,366.29998779296875,368.5400085449219,358.6099853515625,368.3699951171875,367.97955322265625,12724800
2024-01-18,371.489990234375,376.8500061035156,370.95001220703125,376.1300048828125,375.7313537597656,16354300
2024-01-19,379.0,384.3599853515625,377.9700012207031,383.45001220703125,383.0436096191406,21470100
2024-01-22,387.95001220703125,390.3500061035156,381.1600036621094,381.7799987792969,381.3753662109375,17680500
2024-01-23,384.6199951171875,388.3800048828125,382.0799865722656,385.20001220703125,384.791748046875,15506100
2024-01-24,390.0,396.1499938964844,387.80999755859375,390.70001220703125,390.2859191894531,15698500
2024-01-25,390.1700134277344,395.489990234375,385.6600036621094,393.17999267578125,392.7632751464844,15091100
2024-01-26,394.3500061035156,396.7900085449219,391.5899963378906,394.1400146484375,393.7222595214844,13163700
2024-01-29,394.989990234375,402.92999267578125,393.1000061035156,401.0199890136719,400.5949401855469,18742400
2024-01-30,403.5899963378906,406.3599853515625,399.57000732421875,400.05999755859375,399.635986328125,18614700
2024-01-31,389.0,398.0,387.1000061035156,390.1400146484375,389.72650146484375,20180800
2024-02-01,393.94000244140625,400.5,393.04998779296875,394.7799987792969,394.361572265625,29727100
2024-02-02,459.6000061035156,485.9599914550781,453.010009765625,474.989990234375,474.4865417480469,84615500
2024-02-05,469.8800048828125,471.8999938964844,459.2200012207031,459.4100036621094,458.9230651855469,40832400
2024-02-06,464.0,467.1199951171875,453.0,454.7200012207031,454.238037109375,21655200
2024-02-07,458.0,471.5199890136719,456.17999267578125,469.5899963378906,469.09228515625,23066000
2024-02-08,468.32000732421875,470.5899963378906,465.0299987792969,470.0,469.5018615722656,18815100
2024-02-09,472.95001220703125,473.5899963378906,467.4700012207031,468.1099853515625,467.61383056640625,18413100
2024-02-12,468.19000244140625,479.1499938964844,466.5799865722656,468.8999938964844,468.40301513671875,19382000
2024-02-13,456.8699951171875,467.8900146484375,455.0899963378906,460.1199951171875,459.63232421875,20916600
2024-02-14,467.92999267578125,474.1099853515625,466.0899963378906,473.2799987792969,472.77838134765625,16858400
2024-02-15,475.2799987792969,488.6199951171875,472.2200012207031,484.0299987792969,483.5169677734375,24212300
2024-02-16,478.1099853515625,478.9599914550781,469.2099914550781,473.32000732421875,472.8183288574219,23306500
2024-02-20,469.7200012207031,476.17999267578125,466.55999755859375,471.75,471.25,18015500
2024-02-21,466.5,469.0,461.7900085449219,468.0299987792969,468.0299987792969,12977100
2024-02-22,480.239990234375,489.989990234375,476.05999755859375,486.1300048828125,486.1300048828125,21625800
2024-02-23,488.04998779296875,494.3599853515625,482.3500061035156,484.0299987792969,484.0299987792969,18374300
2024-02-26,483.4700012207031,486.1400146484375,480.6000061035156,481.739990234375,481.739990234375,12101400
2024-02-27,479.9800109863281,487.2699890136719,479.9200134277344,487.04998779296875,487.04998779296875,10809600
2024-02-28,485.0,491.04998779296875,482.75,484.0199890136719,484.0199890136719,12715500
2024-02-29,488.44000244140625,491.70001220703125,482.6099853515625,490.1300048828125,490.1300048828125,17732000
2024-03-01,492.1099853515625,504.25,491.8500061035156,502.29998779296875,502.29998779296875,16273600
2024-03-04,503.0,504.4200134277344,496.4200134277344,498.19000244140625,498.19000244140625,12324100
2024-03-05,495.0,495.5799865722656,487.8900146484375,490.2200012207031,490.2200012207031,15325300
2024-03-06,497.6300048828125,502.9700012207031,494.2900085449219,496.0899963378906,496.0899963378906,11757900
2024-03-07,503.2799987792969,519.8499755859375,501.3800048828125,512.1900024414062,512.1900024414062,18586400
2024-03-08,514.1900024414062,523.5700073242188,499.3500061035156,505.95001220703125,505.95001220703125,18575200
2024-03-11,497.010009765625,497.32000732421875,476.0,483.5899963378906,483.5899963378906,20428300
2024-03-12,493.260009765625,502.30999755859375,484.7300109863281,499.75,499.75,15448200
2024-03-13,495.3900146484375,500.9800109863281,491.0299987792969,495.57000732421875,495.57000732421875,12090700
2024-03-14,500.260009765625,501.3500061035156,488.1600036621094,491.8299865722656,491.8299865722656,12620000
2024-03-15,489.010009765625,491.8299865722656,481.29998779296875,484.1000061035156,484.1000061035156,29141700
2024-03-18,491.9100036621094,497.4200134277344,486.80999755859375,496.9800109863281,496.9800109863281,11755300
2024-03-19,488.1700134277344,496.6300048828125,481.2799987792969,496.239990234375,496.239990234375,10903100
2024-03-20,499.5,508.20001220703125,495.1700134277344,505.5199890136719,505.5199890136719,11711100
2024-03-21,514.7100219726562,515.0399780273438,506.010009765625,507.760009765625,507.760009765625,9712500
2024-03-22,507.0,509.9700012207031,504.3399963378906,509.5799865722656,509.5799865722656,8117000
2024-03-25,505.7900085449219,507.2200012207031,500.239990234375,503.0199890136719,503.0199890136719,8380600
2024-03-26,505.1300048828125,510.0,495.2099914550781,495.8900146484375,495.8900146484375,11205400
2024-03-27,499.29998779296875,499.8900146484375,488.07000732421875,493.8599853515625,493.8599853515625,9989700
2024-03-28,492.8399963378906,492.8900146484375,485.1499938964844,485.5799865722656,485.5799865722656,15212800
